"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","748","test_delete_product","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","900","test_get_user_cart","","2026-03-19","passed","2026-03-19","TestProductAPI","test_cart_tests","",""
"","968","test_create_user","","2026-03-19","passed","2026-03-19","TestProductAPI","test_user_tests","",""
"","1020","test_get_sorted_products_desc","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","814","test_get_all_products","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","748","test_get_products_by_categories","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","1228","test_get_user_by_id","","2026-03-19","passed","2026-03-19","TestProductAPI","test_user_tests","",""
"","3756","test_add_new_delete_product[order_data1]","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_datadriven_tests","",""
"","852","test_get_all_users","","2026-03-19","passed","2026-03-19","TestProductAPI","test_user_tests","",""
"","936","test_get_cart_by_id","","2026-03-19","passed","2026-03-19","TestProductAPI","test_cart_tests","",""
"","887","test_get_users_with_limit","","2026-03-19","passed","2026-03-19","TestProductAPI","test_user_tests","",""
"","733","test_update_product","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","748","test_get_all_products_all_categories","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","1151","test_delete_cart","","2026-03-19","passed","2026-03-19","TestProductAPI","test_cart_tests","",""
"","739","test_get_limited_products","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","835","test_get_sorted_products_asc","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","840","test_create_cart","","2026-03-19","passed","2026-03-19","TestProductAPI","test_cart_tests","",""
"","781","test_add_new_product","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","3417","test_add_new_delete_product[order_data0]","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_datadriven_tests","",""
"","991","test_get_all_carts","","2026-03-19","passed","2026-03-19","TestProductAPI","test_cart_tests","",""
"","798","test_update_cart","","2026-03-19","passed","2026-03-19","TestProductAPI","test_cart_tests","",""
"","2131","test_get_users_sorted_desc","","2026-03-19","passed","2026-03-19","TestProductAPI","test_user_tests","",""
"","746","test_get_single_product_by_id","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_tests","",""
"","898","test_carts_by_date_range","","2026-03-19","passed","2026-03-19","TestProductAPI","test_cart_tests","",""
"","3143","test_add_new_delete_product[order_data4]","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_datadriven_tests","",""
"","1945","test_add_new_delete_product[order_data3]","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_datadriven_tests","",""
"","2474","test_get_users_sorted_asc","","2026-03-19","passed","2026-03-19","TestProductAPI","test_user_tests","",""
"","911","test_update_user","","2026-03-19","passed","2026-03-19","TestProductAPI","test_user_tests","",""
"","1734","test_add_new_delete_product[order_data2]","","2026-03-19","passed","2026-03-19","TestProductAPI","test_product_datadriven_tests","",""
"","945","test_delete_user","","2026-03-19","passed","2026-03-19","TestProductAPI","test_user_tests","",""
